id,name,ec,source,smarts,ec_list,score,datasets,radius,is_balanced
rr_MNXR100935,RetroRules reaction MNXR100935,4.1.1.85,retrorules,[O;H0:1]=[C;H0:2](-[O;H1:3])-[C;H1:4](-[C;H0:5])-[O;H1:6]>>[C;H0:5]-[C;H2:4]-[O;H1:6].[O;H0:1]=[C;H0:2]=[O;H0:3],4.1.1.85,0.7071067690849304,metanetx,1,B
rr_MNXR100946,RetroRules reaction MNXR100946,2.6.1.7,retrorules,[C;H3:1]-[C;H1:2](-[N;H2:3])-[C;H0:4]>>[N;H2]-[c;H0]1:[c;H1]:[c;H1]:[c;H1]:[c;H1]:[c;H0]:1-[C;H0](=[O;H0])-[C;H2:1]-[C;H1:2](-[N;H2:3])-[C;H0:4],2.6.1.7;3.7.1.3,0.39518827199935913,metanetx,2,B
rr_MNXR100949,RetroRules reaction MNXR100949,2.6.1.63,retrorules,[N;H2:1]-[c;H0:2]1:[c;H1:3]:[c;H1:4]:[c;H1:5]:[c;H1:6]:[c;H0:7]:1-[C;H0:8](=[O;H0:9])-[C;H2:10]-[C;H0:11](=[O;H0:12])-[C;H0:13](=[O;H0:14])-[O;H1:15]>>[O;H2:12].[n;H0:1]1:[c;H0:2]2:[c;H1:3]:[c;H1:4]:[c;H1:5]:[c;H1:6]:[c;H0:7]:2:[c;H0:8](-[O;H1:9]):[c;H1:10]:[c;H0:11]:1-[C;H0:13](=[O;H0:14])-[O;H1:15],2.6.1.63;2.6.1.7,0.3563707768917084,metanetx,10,B
rr_MNXR101007,RetroRules reaction MNXR101007,1.1.1.156,retrorules,[C;H3:1]-[C;H1:2](-[O;H1:3])-[C;H1:4]=[O;H0:5]>>[C;H3:1]-[C;H0:2](=[O;H0:3])-[C;H1:4]=[O;H0:5],1.1.1.156;1.1.1.2;1.1.1.21;1.1.1.283;1.1.1.6;1.1.1.72;1.1.1.78;1.1.1.79;1.2.1.49,0.7071067690849304,metanetx,10,B
rr_MNXR101008,RetroRules reaction MNXR101008,1.1.1.156,retrorules,[C;H3:1]-[C;H1:2](-[O;H1:3])-[C;H1:4]=[O;H0:5]>>[C;H3:1]-[C;H0:2](=[O;H0:3])-[C;H1:4]=[O;H0:5],1.1.1.156;1.1.1.2;1.1.1.21;1.1.1.283;1.1.1.6;1.1.1.72;1.1.1.78;1.1.1.79;1.2.1.49,0.7071067690849304,metanetx,10,B
rr_MNXR101011,RetroRules reaction MNXR101011,3.4.13.18,retrorules,[C;H3:1]-[C;H1:2](-[N;H2:3])-[C;H0:4](=[O;H0:5])-[O;H1:6]>>[O;H0]=[C;H0](-[O;H1])-[C;H2]-[C;H2]-[C;H1](-[N;H1]-[C;H0:4](-[C;H1:2](-[C;H3:1])-[N;H2:3])=[O;H0:5])-[C;H0](=[O;H0])-[O;H1].[O;H2:6],3.4.13.18,1.0,metanetx,10,B
rr_MNXR101018,RetroRules reaction MNXR101018,1.2.1,retrorules,[C;H3:1]-[C;H1:2](-[O;H1:3])-[C;H1:4]=[O;H0:5]>>[O;H1]-[C;H0:4](-[C;H1:2](-[C;H3:1])-[O;H1:3])=[O;H0:5],1.2.1;1.2.1.21;1.2.1.22;1.2.1.23;1.2.1.3;1.2.1.5,0.7071067690849304,metanetx,10,B
rr_MNXR101019,RetroRules reaction MNXR101019,1.2.1,retrorules,[C;H3:1]-[C;H1:2](-[O;H1:3])-[C;H1:4]=[O;H0:5]>>[O;H1]-[C;H0:4](-[C;H1:2](-[C;H3:1])-[O;H1:3])=[O;H0:5],1.2.1;1.2.1.21;1.2.1.22;1.2.1.23;1.2.1.3;1.2.1.5,0.7071067690849304,metanetx,10,B
rr_MNXR101032,RetroRules reaction MNXR101032,4.1.1,retrorules,[N;H2:1]-[C;H2:2]-[C;H2:3]-[S;H0:4](=[O;H0:5])(=[O;H0:6])-[O;H1:7]>>[O;H0]=[C;H0](-[O;H1])-[C;H1:2](-[N;H2:1])-[C;H2:3]-[S;H0:4](=[O;H0:5])(=[O;H0:6])-[O;H1:7],4.1.1;4.1.1.122;4.1.1.15;4.1.1.29,0.7598356604576111,metanetx,10,B
rr_MNXR101037,RetroRules reaction MNXR101037,1.1,retrorules,[C;H3:1]-[C;H0:2](=[O;H0:3])-[C;H0:4](=[O;H0:5])-[O;H1:6]>>[C;H3:1]-[C;H1:2](-[O;H1:3])-[C;H0:4](=[O;H0:5])-[O;H1:6],1.1;1.1.1;1.1.1.1;1.1.1.27;1.1.1.272;1.1.1.28;1.1.1.40;1.1.1.86;1.1.2.3;1.1.2.4;1.1.3.15;1.1.3.2;1.1.5;1.1.99.40;1.1.99.7,0.2514866888523102,metanetx,10,B
