id,name,smiles,inchikey,kegg,chebi,role,is_monomer,is_currency,formula,charge,mass
cpd_MNXM744913,Threonyl-Methionyl-Arginine,CSCC[C@H](NC(=O)[C@H](N)[C@@H](C)O)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)O,OHDXOXIZXSFCDN-LMLFDSFASA-O,,,intermediate,false,false,C15H31N6O5S,1,407.51700
cpd_MNXM744914,Threonyl-Phenylalanyl-Arginine,C[C@@H](O)[C@@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)O,WRQLCVIALDUQEQ-REBRKWNGSA-O,,,intermediate,false,false,C19H31N6O5,1,423.49400
cpd_MNXM744915,Threonyl-Seryl-Arginine,C[C@@H](O)[C@@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)O,PRTHQBSMXILLPC-LURQLKTLSA-O,,,intermediate,false,false,C13H27N6O6,1,363.39500
cpd_MNXM744916,Threonyl-Threonyl-Arginine,C[C@@H](O)[C@H](NC(=O)[C@H](N)[C@@H](C)O)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)O,QYDKSNXSBXZPFK-IGORNWKESA-O,,,intermediate,false,false,C14H29N6O6,1,377.42200
cpd_MNXM744917,Threonyl-Tyrosyl-Methionine,CSCC[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](N)[C@@H](C)O)C(=O)O,VMSSYINFMOFLJM-QPKOPYBWSA-N,,,intermediate,false,false,C18H27N3O6S,0,413.49600
cpd_MNXM744925,Tryptophanyl-Alanyl-Proline,C[C@H](NC(=O)[C@@H](N)CC1=CNC2=C1C=CC=C2)C(=O)N1CCC[C@H]1C(=O)O,VZBWRZGNEPBRDE-PJODQICGSA-N,,,intermediate,false,false,C19H24N4O4,0,372.42500
cpd_MNXM744930,Tryptophanyl-Glutamyl-Leucine,CC(C)C[C@@H](NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](N)CC1=CNC2=C1C=CC=C2)C(=O)O,YXONONCLMLHWJX-BPQIPLTHSA-M,,,intermediate,false,false,C22H29N4O6,-1,445.49600
cpd_MNXM744936,Tryptophanyl-Glycyl-Valine,CC(C)[C@@H](NC(=O)CNC(=O)[C@H](N)CC1=CNC2=C1C=CC=C2)C(=O)O,WSGPBCAGEGHKQJ-CZUORRHYSA-N,,,intermediate,false,false,C18H24N4O4,0,360.41400
cpd_MNXM744937,Tryptophanyl-Histidyl-Methionine,CSCC[C@@H](NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@H](N)CC1=CNC2=C1C=CC=C2)C(=O)O,HJXWDGGIORSQQF-QRQLOZEOSA-N,,,intermediate,false,false,C22H28N6O4S,0,472.57100
cpd_MNXM744940,Tryptophanyl-Leucyl-Valine,CC(C)C[C@H](NC(=O)[C@H](N)CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](C(=O)O)C(C)C,WMBFONUKQXGLMU-NZSAHSFTSA-N,,,intermediate,false,false,C22H32N4O4,0,416.52200
